id,date,desc,details
2653,2011/09/25,I ate cereals for breakfast.,I ate cereals for breakfast.
2654,2011/09/25,I ate pasta for lunch.,I ate pasta for lunch.
2655,2011/09/25,I spent 50 talking to Piper on various topics during lunch hours.,I spent 50 talking to Piper on various topics during lunch hours.
2656,2011/09/25,I spent 49 minutes reading social media today.,I spent 49 minutes reading social media today.
2657,2011/09/25,I spent 12 minutes watching a tv series on TV today.,I spent 12 minutes watching a tv series on TV today.
2658,2011/09/26,I ate oatmeal for breakfast.,I ate oatmeal for breakfast.
2659,2011/09/26,I ate a burger for lunch.,I ate a burger for lunch.
2660,2011/09/26,I had dinner. I ate indian food.,I had dinner. I ate indian food.
2661,2011/09/26,I talked to Eva for 37 minutes in the morning.,I talked to Eva for 37 minutes in the morning.
2662,2011/09/26,I spent 23 minutes watching a tv series on TV today.,I spent 23 minutes watching a tv series on TV today.
2663,2011/09/27,I had breakfast. I ate cereals.,I had breakfast. I ate cereals.
2664,2011/09/27,I prepare indian food for lunch.,I prepare indian food for lunch.
2665,2011/09/27,I watched news for 46 minutes on TV today.,I watched news for 46 minutes on TV today.
2666,2011/09/28,I did swimming on 2011/09/28.,I did swimming on 2011/09/28.
2667,2011/09/28,"I had dinner with Kayden, Andrew. I ate a burger.","I had dinner with Kayden, Andrew. I ate a burger."
2668,2011/09/28,"I talked to Lydia, Piper, Rylee for 46 minutes in the late afternoon.","I talked to Lydia, Piper, Rylee for 46 minutes in the late afternoon."
2669,2011/09/28,I watched news for 11 minutes on TV today.,I watched news for 11 minutes on TV today.
2670,2011/09/29,I went on a date with Everleigh on 2011/09/29 at a coffee Shop,I went on a date with Everleigh on 2011/09/29 at a coffee Shop
2671,2011/09/29,I ate toast and cheese for breakfast.,I ate toast and cheese for breakfast.
2672,2011/09/29,I prepare steak for dinner.,I prepare steak for dinner.
2673,2011/09/29,I watched a tv series for 50 minutes on TV today.,I watched a tv series for 50 minutes on TV today.
2674,2011/09/30,"I went grocery shopping. I bought some oranges, apricots, milk, pineapple juice, apple juice, and shaving cream, toothpaste, facial wash, mouthwash","I went grocery shopping. I bought some oranges, apricots, milk, pineapple juice, apple juice, and shaving cream, toothpaste, facial wash, mouthwash"
2675,2011/09/30,"I had peanut-butter-jam for breakfast with Avery, Willow, Jackson, Benjamin","I had peanut-butter-jam for breakfast with Avery, Willow, Jackson, Benjamin"
2676,2011/09/30,I ate steak for lunch.,I ate steak for lunch.
2677,2011/09/30,"I spent 9 talking to Piper, Rylee, Lydia, Kinsley on various topics in the late afternoon.","I spent 9 talking to Piper, Rylee, Lydia, Kinsley on various topics in the late afternoon."
2678,2011/10/01,"I spent 36 talking to Layla, Olivia on various topics in the early afternoon.","I spent 36 talking to Layla, Olivia on various topics in the early afternoon."
2679,2011/10/01,I spent 47 minutes reading a book today.,I spent 47 minutes reading a book today.
2680,2011/10/01,I watched news for 16 minutes on TV today.,I watched news for 16 minutes on TV today.
2681,2011/10/02,I did HIIT on 2011/10/02.,I did HIIT on 2011/10/02.
2682,2011/10/02,I had breakfast. I ate toast and cheese.,I had breakfast. I ate toast and cheese.
2683,2011/10/02,I had steak for dinner with Kayden,I had steak for dinner with Kayden
2684,2011/10/02,I spent 53 talking to Layla on various topics in the early evening.,I spent 53 talking to Layla on various topics in the early evening.
2685,2011/10/02,I spent 11 minutes reading a book today.,I spent 11 minutes reading a book today.
2686,2011/10/03,I had lunch. I ate tacos.,I had lunch. I ate tacos.
2687,2011/10/03,"I talked to Olivia, Piper, Piper for 48 minutes in the early evening.","I talked to Olivia, Piper, Piper for 48 minutes in the early evening."
2688,2011/10/03,"I spent 7 talking to Claire, Nora, Olivia, Piper on various topics late in the evening.","I spent 7 talking to Claire, Nora, Olivia, Piper on various topics late in the evening."
2689,2011/10/04,I did biking on 2011/10/04.,I did biking on 2011/10/04.
2690,2011/10/04,"I had peanut-butter-jam for breakfast with Piper, Piper, Claire, Eva, Layla, Nora, Rylee","I had peanut-butter-jam for breakfast with Piper, Piper, Claire, Eva, Layla, Nora, Rylee"
2691,2011/10/04,"I had indian food for lunch with Avery, Layla, Claire, Lydia, Kinsley, Rylee, Piper, Piper, Eva, Nevaeh, Olivia, Hazel, Nora","I had indian food for lunch with Avery, Layla, Claire, Lydia, Kinsley, Rylee, Piper, Piper, Eva, Nevaeh, Olivia, Hazel, Nora"
2692,2011/10/04,I talked to Claire for 53 minutes in the early afternoon.,I talked to Claire for 53 minutes in the early afternoon.
2693,2011/10/05,"I ate eggs, sausages, and bread for breakfast.","I ate eggs, sausages, and bread for breakfast."
2694,2011/10/05,"I had sushi for lunch with Jackson, Benjamin","I had sushi for lunch with Jackson, Benjamin"
2695,2011/10/05,I had dinner with Carter. I ate a burger.,I had dinner with Carter. I ate a burger.
2696,2011/10/05,"I talked to Nora, Nevaeh, Eva, Kinsley for 46 minutes in the morning.","I talked to Nora, Nevaeh, Eva, Kinsley for 46 minutes in the morning."
2697,2011/10/06,"On 2011/10/06, I took Jaxon on a date to a park","On 2011/10/06, I took Jaxon on a date to a park"
2698,2011/10/06,I did HIIT on 2011/10/06.,I did HIIT on 2011/10/06.
2699,2011/10/06,"I had lunch with Andrew, Kayden. I ate indian food.","I had lunch with Andrew, Kayden. I ate indian food."
2700,2011/10/06,"I had sandwich for dinner with Andrew, Kayden, Carter, Emily","I had sandwich for dinner with Andrew, Kayden, Carter, Emily"
2701,2011/10/06,I spent 48 minutes on a book today.,I spent 48 minutes on a book today.
2702,2011/10/06,I watched news for 46 minutes on TV today.,I watched news for 46 minutes on TV today.
2703,2011/10/07,I prepare peanut-butter-jam for breakfast.,I prepare peanut-butter-jam for breakfast.
2704,2011/10/07,"I had indian food for lunch with Willow, Jackson","I had indian food for lunch with Willow, Jackson"
2705,2011/10/07,I had dinner. I ate chinese food.,I had dinner. I ate chinese food.
2706,2011/10/07,"I talked to Layla, Kinsley, Eva for 54 minutes during lunch hours.","I talked to Layla, Kinsley, Eva for 54 minutes during lunch hours."
2707,2011/10/07,I spent 45 minutes on news today.,I spent 45 minutes on news today.
2708,2011/10/07,I spent 54 minutes watching news on TV today.,I spent 54 minutes watching news on TV today.
2709,2011/10/08,"I had breakfast. I ate eggs, sausages, and bread.","I had breakfast. I ate eggs, sausages, and bread."
2710,2011/10/08,"I talked to Rylee, Eva, Hazel, Kinsley for 43 minutes in the late afternoon.","I talked to Rylee, Eva, Hazel, Kinsley for 43 minutes in the late afternoon."
2711,2011/10/08,I watched a tv series for 55 minutes on TV today.,I watched a tv series for 55 minutes on TV today.
2712,2011/10/09,I did hiking on 2011/10/09.,I did hiking on 2011/10/09.
2713,2011/10/09,I had dinner. I ate indian food.,I had dinner. I ate indian food.
2714,2011/10/09,"I talked to Layla, Piper, Hazel for 9 minutes in the early afternoon.","I talked to Layla, Piper, Hazel for 9 minutes in the early afternoon."
2715,2011/10/09,I spent 12 minutes reading a book today.,I spent 12 minutes reading a book today.
2716,2011/10/10,I did running on 2011/10/10.,I did running on 2011/10/10.
2717,2011/10/10,I ate indian food for lunch.,I ate indian food for lunch.
2718,2011/10/10,"I spent 18 talking to Eva, Olivia on various topics late in the evening.","I spent 18 talking to Eva, Olivia on various topics late in the evening."
2719,2011/10/10,I spent 24 minutes on news today.,I spent 24 minutes on news today.
2720,2011/10/11,"I had fish and chips for lunch with Andrew, Carter, Emily, Kayden","I had fish and chips for lunch with Andrew, Carter, Emily, Kayden"
2721,2011/10/11,"I had dinner with Andrew, Emily, Carter, Kayden. I ate sushi.","I had dinner with Andrew, Emily, Carter, Kayden. I ate sushi."
2722,2011/10/11,I spent 42 minutes on social media today.,I spent 42 minutes on social media today.
2723,2011/10/11,I spent 14 minutes watching a movie on TV today.,I spent 14 minutes watching a movie on TV today.
2724,2011/10/12,I ate tacos for lunch.,I ate tacos for lunch.
2725,2011/10/13,I went on a date with Eleanor on 2011/10/13 at a park,I went on a date with Eleanor on 2011/10/13 at a park
2726,2011/10/13,"I bought some pineapples, guava, mangos, sports drinks, pineapple juice, facial wash, toilet paper from the grocery store. I saw Andrew, Kayden, Carter, Emily at the grocery store.","I bought some pineapples, guava, mangos, sports drinks, pineapple juice, facial wash, toilet paper from the grocery store. I saw Andrew, Kayden, Carter, Emily at the grocery store."
2727,2011/10/13,I had breakfast. I ate toast and cheese.,I had breakfast. I ate toast and cheese.
2728,2011/10/13,"I had dinner with Kayden, Carter, Andrew. I ate tacos.","I had dinner with Kayden, Carter, Andrew. I ate tacos."
2729,2011/10/13,I spent 46 minutes reading news today.,I spent 46 minutes reading news today.
2730,2011/10/13,I watched news for 19 minutes on TV today.,I watched news for 19 minutes on TV today.
2731,2011/10/14,I ate pancakes for breakfast.,I ate pancakes for breakfast.
2732,2011/10/14,"I had indian food for dinner with Claire, Rylee, Nevaeh, Hazel, Kinsley, Piper","I had indian food for dinner with Claire, Rylee, Nevaeh, Hazel, Kinsley, Piper"
2733,2011/10/14,"I talked to Eva, Layla, Lydia, Nevaeh for 20 minutes late in the evening.","I talked to Eva, Layla, Lydia, Nevaeh for 20 minutes late in the evening."
2734,2011/10/15,I did running on 2011/10/15.,I did running on 2011/10/15.
2735,2011/10/15,I had lunch. I ate sandwich.,I had lunch. I ate sandwich.
2736,2011/10/15,"I talked to Olivia, Hazel, Avery for 39 minutes in the morning.","I talked to Olivia, Hazel, Avery for 39 minutes in the morning."
2737,2011/10/15,I spent 23 minutes watching a documentary on TV today.,I spent 23 minutes watching a documentary on TV today.
2738,2011/10/16,"I had breakfast with Emily, Andrew. I ate oatmeal.","I had breakfast with Emily, Andrew. I ate oatmeal."
2739,2011/10/16,I prepare pasta for lunch.,I prepare pasta for lunch.
2740,2011/10/16,"I talked to Piper, Layla, Olivia for 22 minutes during lunch hours.","I talked to Piper, Layla, Olivia for 22 minutes during lunch hours."
2741,2011/10/16,I spent 20 minutes on news today.,I spent 20 minutes on news today.
2742,2011/10/17,"I spent 14 talking to Lydia, Avery, Piper on various topics in the early evening.","I spent 14 talking to Lydia, Avery, Piper on various topics in the early evening."
2743,2011/10/17,I spent 11 minutes on social media today.,I spent 11 minutes on social media today.
2744,2011/10/18,I really enjoyed working out on 2011/10/18,I really enjoyed working out on 2011/10/18
2745,2011/10/18,I had breakfast. I ate peanut-butter-jam.,I had breakfast. I ate peanut-butter-jam.
2746,2011/10/18,I ate sushi for lunch.,I ate sushi for lunch.
2747,2011/10/18,"I had dinner with Piper, Avery, Layla, Claire, Olivia. I ate indian food.","I had dinner with Piper, Avery, Layla, Claire, Olivia. I ate indian food."
2748,2011/10/18,"I talked to Nora, Claire, Layla for 36 minutes in the early afternoon.","I talked to Nora, Claire, Layla for 36 minutes in the early afternoon."
2749,2011/10/18,I spent 12 minutes reading news today.,I spent 12 minutes reading news today.
2750,2011/10/18,I watched a movie for 11 minutes on TV today.,I watched a movie for 11 minutes on TV today.
2751,2011/10/19,"I bought some mandarins, apricots, chocolate milk, soda, milk, conditioner, shampoo, shaving cream, paper towel online.","I bought some mandarins, apricots, chocolate milk, soda, milk, conditioner, shampoo, shaving cream, paper towel online."
2752,2011/10/19,I did hiking on 2011/10/19.,I did hiking on 2011/10/19.
2753,2011/10/19,I prepare sushi for lunch.,I prepare sushi for lunch.
2754,2011/10/19,"I spent 5 talking to Rylee, Kinsley on various topics late in the evening.","I spent 5 talking to Rylee, Kinsley on various topics late in the evening."
2755,2011/10/19,I watched a movie for 13 minutes on TV today.,I watched a movie for 13 minutes on TV today.
2756,2011/10/20,I did biking on 2011/10/20.,I did biking on 2011/10/20.
2757,2011/10/20,"I had breakfast with Andrew, Carter, Kayden, Emily. I ate cereals.","I had breakfast with Andrew, Carter, Kayden, Emily. I ate cereals."
2758,2011/10/20,I talked to Nora for 51 minutes during lunch hours.,I talked to Nora for 51 minutes during lunch hours.
2759,2011/10/20,I spent 12 minutes watching a movie on TV today.,I spent 12 minutes watching a movie on TV today.
2760,2011/10/21,I ate a burger for lunch.,I ate a burger for lunch.
2761,2011/10/21,I spent 42 minutes watching news on TV today.,I spent 42 minutes watching news on TV today.
2762,2011/10/22,"I spent time working out on 2011/10/22 with Emily, Carter.","I spent time working out on 2011/10/22 with Emily, Carter."
2763,2011/10/22,I did weight lifting on 2011/10/22.,I did weight lifting on 2011/10/22.
2764,2011/10/23,I ate sandwich for dinner.,I ate sandwich for dinner.
2765,2011/10/23,I spent 21 minutes on a book today.,I spent 21 minutes on a book today.
2766,2011/10/24,"I went grocery shopping with Benjamin, Avery, Willow, Jackson. I bought some pineapples, guava, blackberries, tea, milk, and mouth wash, shampoo, toothbrush","I went grocery shopping with Benjamin, Avery, Willow, Jackson. I bought some pineapples, guava, blackberries, tea, milk, and mouth wash, shampoo, toothbrush"
2767,2011/10/24,I did weight lifting on 2011/10/24.,I did weight lifting on 2011/10/24.
2768,2011/10/24,I prepare pancakes for breakfast.,I prepare pancakes for breakfast.
2769,2011/10/24,I watched a movie for 10 minutes on TV today.,I watched a movie for 10 minutes on TV today.
2770,2011/10/25,I did biking on 2011/10/25.,I did biking on 2011/10/25.
2771,2011/10/25,"I had dinner with Andrew, Emily, Carter. I ate indian food.","I had dinner with Andrew, Emily, Carter. I ate indian food."
2772,2011/10/26,I prepare sandwich for lunch.,I prepare sandwich for lunch.
2773,2011/10/26,I spent 5 minutes reading social media today.,I spent 5 minutes reading social media today.
2774,2011/10/26,I spent 45 minutes watching news on TV today.,I spent 45 minutes watching news on TV today.
2775,2011/10/27,I did weight lifting on 2011/10/27.,I did weight lifting on 2011/10/27.
2776,2011/10/27,I had breakfast. I ate toast and cheese.,I had breakfast. I ate toast and cheese.
2777,2011/10/27,I ate pasta for lunch.,I ate pasta for lunch.
2778,2011/10/27,"I spent 9 talking to Layla, Olivia, Rylee, Claire on various topics in the early afternoon.","I spent 9 talking to Layla, Olivia, Rylee, Claire on various topics in the early afternoon."
2779,2011/10/27,I spent 52 minutes on news today.,I spent 52 minutes on news today.
